player_id,name,team_id,team_name,sub_position,foot,height_in_cm
1,Folarin Balogun,1,Arsenal,Centre-Forward,right,175
2,Cédric Alves Soares,1,Arsenal,Right-Back,right,171
3,Mohamed Elneny,1,Arsenal,Defensive Midfield,right,179
4,Fábio Ferreira Vieira,1,Arsenal,Attacking Midfield,left,170
5,Gabriel dos Santos Magalhães,1,Arsenal,Centre-Back,left,190
6,Kai Havertz,1,Arsenal,Attacking Midfield,left,193
8,Gabriel Fernando de Jesus,1,Arsenal,Centre-Forward,right,175
9,Jorge Luiz Frello Filho,1,Arsenal,Defensive Midfield,right,178
10,Jakub Kiwior,1,Arsenal,Centre-Back,left,189
11,Marcus Oliveira Alencar,1,Arsenal,,,
12,Gabriel Martinelli Silva,1,Arsenal,Left Winger,right,178
13,Eddie Nketiah,1,Arsenal,Centre-Forward,right,175
14,Martin Ødegaard,1,Arsenal,Attacking Midfield,left,178
15,Thomas Partey,1,Arsenal,Defensive Midfield,right,185
16,Nicolas Pépé,1,Arsenal,,,
17,Aaron Ramsdale,1,Arsenal,Goalkeeper,right,190
18,Rúnar Alex Rúnarsson,1,Arsenal,,,
19,Bukayo Saka,1,Arsenal,Right Winger,left,178
20,William Saliba,1,Arsenal,Centre-Back,right,192
22,Emile Smith Rowe,1,Arsenal,Attacking Midfield,right,182
24,Kieran Tierney,1,Arsenal,,,
25,Takehiro Tomiyasu,1,Arsenal,Right-Back,right,188
26,Leandro Trossard,1,Arsenal,Left Winger,right,172
29,Benjamin White,1,Arsenal,Right-Back,right,186
30,Granit Xhaka,1,Arsenal,,,
31,Oleksandr Zinchenko,1,Arsenal,Left-Back,left,175
113,David Raya Martin,1,Arsenal,Goalkeeper,right,183
540,Declan Rice,1,Arsenal,Defensive Midfield,right,188
578,Reiss Nelson,1,Arsenal,Right Winger,right,175
585,Jurriën Timber,1,Arsenal,Centre-Back,right,179
646,Karl Hein,1,Arsenal,Goalkeeper,right,193
32,Alexandre Moreno Lopera,2,Villa,Left-Back,left,179
34,Leon Bailey,2,Villa,Left Winger,left,178
35,Emiliano Buendía Stati,2,Villa,Right Winger,right,172
36,Matty Cash,2,Villa,Right-Back,right,185
37,Calum Chambers,2,Villa,Centre-Back,right,182
38,Philippe Coutinho Correia,2,Villa,,,
39,Keinan Davis,2,Villa,,,
40,Leander Dendoncker,2,Villa,,,
41,Diego Carlos Santos Silva,2,Villa,Centre-Back,right,185
42,Lucas Digne,2,Villa,Left-Back,left,178
43,Douglas Luiz Soares de Paulo,2,Villa,Central Midfield,right,177
44,Jhon Durán,2,Villa,Centre-Forward,left,185
45,Kortney Hause,2,Villa,Centre-Back,left,191
46,Tim Iroegbunam,2,Villa,Central Midfield,right,183
47,Boubacar Kamara,2,Villa,Defensive Midfield,right,184
48,Ezri Konsa Ngoyo,2,Villa,Centre-Back,right,183
49,Emiliano Martínez Romero,2,Villa,Goalkeeper,right,195
50,John McGinn,2,Villa,Central Midfield,left,178
51,Tyrone Mings,2,Villa,Centre-Back,left,196
53,Robin Olsen,2,Villa,Goalkeeper,right,196
54,Jaden Philogene-Bidace,2,Villa,,,
55,Jacob Ramsey,2,Villa,Central Midfield,right,180
56,Morgan Sanson,2,Villa,,,
57,Viljami Sinisalo,2,Villa,,,
58,Youri Tielemans,2,Villa,Central Midfield,right,177
59,Bertrand Traoré,2,Villa,,,
60,Ollie Watkins,2,Villa,Centre-Forward,right,180
61,Wesley Moraes Ferreira da Silva,2,Villa,,,
584,Pau Torres,2,Villa,Centre-Back,left,192
599,Moussa Diaby,2,Villa,Right Winger,left,171
618,Omari Kellyman,2,Villa,,,
670,Filip Marschall,2,Villa,,,
672,Nicolò Zaniolo,2,Villa,Attacking Midfield,left,190
686,Oliwier Zych,2,Villa,,,
699,Clément Lenglet,2,Villa,Centre-Back,left,186
62,Jaidon Anthony,3,Bournemouth,,,
63,Philip Billing,3,Bournemouth,Central Midfield,left,193
64,David Brooks,3,Bournemouth,,,
65,Ryan Christie,3,Bournemouth,Attacking Midfield,left,178
66,Lewis Cook,3,Bournemouth,Central Midfield,right,175
67,Siriki Dembélé,3,Bournemouth,,,
68,Ryan Fredericks,3,Bournemouth,Right-Back,right,181
69,James Hill,3,Bournemouth,Centre-Back,right,184
70,Lloyd Kelly,3,Bournemouth,Centre-Back,left,190
71,Gavin Kilkenny,3,Bournemouth,,,
72,Justin Kluivert,3,Bournemouth,Left Winger,both,172
73,Jamal Lowe,3,Bournemouth,,,
74,Emiliano Marcondes,3,Bournemouth,,,
75,Chris Mepham,3,Bournemouth,Centre-Back,right,190
76,Kieffer Moore,3,Bournemouth,,,
77,Norberto Murara Neto,3,Bournemouth,Goalkeeper,right,190
78,Dango Ouattara,3,Bournemouth,Right Winger,left,177
79,Ben Pearson,3,Bournemouth,,,
80,Darren Randolph,3,Bournemouth,Goalkeeper,right,187
81,Joe Rothwell,3,Bournemouth,,,
82,Antoine Semenyo,3,Bournemouth,Right Winger,right,185
83,Marcos Senesi,3,Bournemouth,Centre-Back,left,185
84,Adam Smith,3,Bournemouth,Right-Back,right,174
85,Dominic Solanke,3,Bournemouth,Centre-Forward,right,186
86,Marcus Tavernier,3,Bournemouth,Left Winger,left,178
87,Hamed Traorè,3,Bournemouth,,,
88,Mark Travers,3,Bournemouth,Goalkeeper,right,191
89,Illia Zabarnyi,3,Bournemouth,Centre-Back,right,189
595,Milos Kerkez,3,Bournemouth,Left-Back,left,180
607,Ionuț Radu,3,Bournemouth,,,
619,Ben Greenwood,3,Bournemouth,,,
643,Max Aarons,3,Bournemouth,Right-Back,right,171
644,Alex Scott,3,Bournemouth,Central Midfield,right,178
673,Tyler Adams,3,Bournemouth,Defensive Midfield,right,175
705,Luis Sinisterra,3,Bournemouth,Left Winger,right,172
90,Kristoffer Ajer,4,Brentford,Centre-Back,right,198
91,Ellery Balcombe,4,Brentford,Goalkeeper,right,190
92,Shandon Baptiste,4,Brentford,Central Midfield,right,180
93,Mads Bech Sørensen,4,Brentford,,,
94,Mads Bidstrup,4,Brentford,,,
95,Sergi Canós Tenés,4,Brentford,,,
96,Nathan Collins,4,Brentford,Centre-Back,right,193
97,Matthew Cox,4,Brentford,,,
98,Mikkel Damsgaard,4,Brentford,Left Winger,right,180
99,Josh Dasilva,4,Brentford,Central Midfield,left,184
100,Halil Dervişoğlu,4,Brentford,,,
101,Mark Flekken,4,Brentford,Goalkeeper,both,195
102,Charlie Goode,4,Brentford,,,
103,Rico Henry,4,Brentford,Left-Back,left,170
104,Aaron Hickey,4,Brentford,Right-Back,both,185
105,Vitaly Janelt,4,Brentford,Defensive Midfield,left,184
106,Mathias Jensen,4,Brentford,Central Midfield,right,180
107,Keane Lewis-Potter,4,Brentford,Left Winger,right,170
108,Bryan Mbeumo,4,Brentford,Right Winger,left,171
109,Ben Mee,4,Brentford,Centre-Back,left,180
110,Christian Nørgaard,4,Brentford,Defensive Midfield,right,187
111,Frank Onyeka,4,Brentford,Central Midfield,right,183
112,Ethan Pinnock,4,Brentford,Centre-Back,left,194
114,Mads Roerslev Rasmussen,4,Brentford,Right-Back,right,184
115,Kevin Schade,4,Brentford,Right Winger,right,185
116,Thomas Strakosha,4,Brentford,Goalkeeper,right,193
117,Ivan Toney,4,Brentford,Centre-Forward,right,185
118,Ryan Trevitt,4,Brentford,Central Midfield,right,
119,Yoane Wissa,4,Brentford,Left Winger,right,176
120,Yegor Yarmolyuk,4,Brentford,Attacking Midfield,right,180
121,Mathias Jorgensen,4,Brentford,,,
258,Neal Maupay,4,Brentford,Centre-Forward,right,173
620,Michale Olakigbe,4,Brentford,,,
684,Ethan Brierley,4,Brentford,,,
701,Saman Ghoddos,4,Brentford,Attacking Midfield,right,175
122,Simon Adingra,5,Brighton,Left Winger,right,175
123,Steven Alzate,5,Brighton,,,
124,Yasin Ayari,5,Brighton,,,
125,Facundo Buonanotte,5,Brighton,Attacking Midfield,left,174
127,Aaron Connolly,5,Brighton,,,
128,Mahmoud Dahoud,5,Brighton,,,
129,Lewis Dunk,5,Brighton,Centre-Back,right,192
130,Julio Enciso,5,Brighton,Attacking Midfield,right,173
131,Pervis Estupiñán,5,Brighton,Left-Back,left,175
132,Evan Ferguson,5,Brighton,Centre-Forward,right,188
133,Billy Gilmour,5,Brighton,Defensive Midfield,right,170
134,Pascal Groß,5,Brighton,Central Midfield,right,181
135,João Pedro Junqueira de Jesus,5,Brighton,Centre-Forward,right,182
136,Michał Karbownik,5,Brighton,,,
137,Kacper Kozłowski,5,Brighton,,,
138,Adam Lallana,5,Brighton,Attacking Midfield,both,172
139,Tariq Lamptey,5,Brighton,Right-Back,right,163
140,Solly March,5,Brighton,Right Winger,left,180
141,Tom McGill,5,Brighton,Goalkeeper,right,185
142,James Milner,5,Brighton,Central Midfield,right,175
143,Kaoru Mitoma,5,Brighton,Left Winger,right,178
144,Jakub Moder,5,Brighton,Central Midfield,right,191
146,Jeremy Sarmiento Morante,5,Brighton,,,
147,Kjell Scherpen,5,Brighton,,,
148,Jason Steele,5,Brighton,Goalkeeper,right,188
149,Deniz Undav,5,Brighton,,,
150,Jan Paul van Hecke,5,Brighton,Centre-Back,right,189
151,Joël Veltman,5,Brighton,Right-Back,right,184
152,Bart Verbruggen,5,Brighton,Goalkeeper,right,194
153,Adam Webster,5,Brighton,Centre-Back,right,190
154,Danny Welbeck,5,Brighton,Centre-Forward,right,185
155,Andi Zeqiri,5,Brighton,,,
606,Igor Julio dos Santos de Paulo,5,Brighton,Centre-Back,left,188
621,Jack Hinshelwood,5,Brighton,Defensive Midfield,right,182
690,Carlos Baleba,5,Brighton,Defensive Midfield,left,179
700,Anssumane Fati Vieira,5,Brighton,Left Winger,right,178
156,Enock Agyei,6,Burnley,,,
157,Ameen Al-Dakhil,6,Burnley,Centre-Back,right,187
158,Samuel Bastien,6,Burnley,,,
159,Manuel Benson Hedilazio,6,Burnley,,,
160,Jordan Beyer,6,Burnley,Centre-Back,right,187
161,Josh Brownhill,6,Burnley,Central Midfield,right,179
162,Darko Churlinov,6,Burnley,,,
163,Jack Cork,6,Burnley,Defensive Midfield,right,185
164,Dara Costelloe,6,Burnley,,,
165,Josh Cullen,6,Burnley,Central Midfield,right,175
166,CJ Egan-Riley,6,Burnley,,,
167,Hjalmar Ekdal,6,Burnley,Centre-Back,right,187
168,Lyle Foster,6,Burnley,Centre-Forward,right,185
169,Denis Franchi,6,Burnley,,,
170,Jóhann Berg Gudmundsson,6,Burnley,Right Winger,left,186
171,Luke McNally,6,Burnley,,,
172,Arijanet Muric,6,Burnley,Goalkeeper,right,198
173,Dara O'Shea,6,Burnley,Centre-Back,right,189
174,Michael Obafemi,6,Burnley,,,
175,Bailey Peacock-Farrell,6,Burnley,,,
176,Connor Roberts,6,Burnley,,,
177,Jay Rodriguez,6,Burnley,,,
178,Charlie Taylor,6,Burnley,Left-Back,left,183
179,Bobby Thomas,6,Burnley,,,
180,Scott Twine,6,Burnley,,,
181,Lawrence Vigouroux,6,Burnley,Goalkeeper,left,194
182,Victor da Silva,6,Burnley,,,
183,Wout Weghorst,6,Burnley,,,
184,Anass Zaroury,6,Burnley,,,
475,Sander Berge,6,Burnley,Defensive Midfield,right,195
594,Zeki Amdouni,6,Burnley,Centre-Forward,both,185
596,James Trafford,6,Burnley,Goalkeeper,right,192
600,Nathan Redmond,6,Burnley,Right Winger,right,173
605,Luca Koleosho,6,Burnley,Left Winger,right,175
608,Jacob Bruun Larsen,6,Burnley,Left Winger,right,183
622,Owen Dodgson,6,Burnley,,,
660,Wilson Odobert,6,Burnley,Left Winger,right,182
674,Hannes Delcroix,6,Burnley,Centre-Back,left,183
675,Aaron Ramsey,6,Burnley,Attacking Midfield,right,181
694,Han-Noah Massengo,6,Burnley,Defensive Midfield,right,178
706,Mike Trésor,6,Burnley,Left Winger,right,172
126,Moisés Caicedo Corozo,7,Chelsea,Defensive Midfield,right,178
145,Robert Sánchez,7,Chelsea,Goalkeeper,right,197
185,Ethan Ampadu,7,Chelsea,,,
187,Kepa Arrizabalaga,7,Chelsea,,,
188,Pierre-Emerick Aubameyang,7,Chelsea,,,
189,César Azpilicueta,7,Chelsea,,,
190,Abdul Rahman Baba,7,Chelsea,,,
191,Benoît Badiashile,7,Chelsea,Centre-Back,left,194
192,Marcus Bettinelli,7,Chelsea,Goalkeeper,right,193
193,Armando Broja,7,Chelsea,Centre-Forward,right,191
194,Trevoh Chalobah,7,Chelsea,Centre-Back,right,192
195,Ben Chilwell,7,Chelsea,Left-Back,left,180
196,Carney Chukwuemeka,7,Chelsea,Central Midfield,right,187
197,Levi Colwill,7,Chelsea,Centre-Back,left,187
198,Marc Cucurella Saseta,7,Chelsea,Left-Back,left,173
199,Enzo Fernández,7,Chelsea,Central Midfield,right,178
200,David Datro Fofana,7,Chelsea,Centre-Forward,right,180
201,Wesley Fofana,7,Chelsea,Centre-Back,right,186
202,Conor Gallagher,7,Chelsea,Central Midfield,right,182
203,Malo Gusto,7,Chelsea,Right-Back,right,178
206,Reece James,7,Chelsea,Right-Back,right,180
207,Romelu Lukaku Bolingoli,7,Chelsea,,,
208,Noni Madueke,7,Chelsea,Right Winger,left,182
210,Mykhailo Mudryk,7,Chelsea,Left Winger,right,175
211,Nicolas Jackson,7,Chelsea,Centre-Forward,right,188
212,Christopher Nkunku,7,Chelsea,Attacking Midfield,right,177
213,Christian Pulisic,7,Chelsea,,,
214,Malang Sarr,7,Chelsea,Centre-Back,left,183
215,Gabriel Słonina,7,Chelsea,,,
216,Raheem Sterling,7,Chelsea,Left Winger,right,170
217,Thiago Emiliano da Silva,7,Chelsea,Centre-Back,right,181
218,Hakim Ziyech,7,Chelsea,,,
362,Cole Palmer,7,Chelsea,Attacking Midfield,left,189
589,Ângelo Gabriel Borges Damaceno,7,Chelsea,,,
609,Ian Maatsen,7,Chelsea,,,
611,Axel Disasi,7,Chelsea,Centre-Back,right,190
613,Lesley Ugochukwu,7,Chelsea,Defensive Midfield,right,190
623,Mason Burstow,7,Chelsea,,,
659,Lucas Bergström,7,Chelsea,,,
667,Roméo Lavia,7,Chelsea,Defensive Midfield,right,181
671,Bashir Humphreys,7,Chelsea,,,
677,Deivid Washington de Souza Eugênio,7,Chelsea,Centre-Forward,right,187
680,Eddie Beach,7,Chelsea,,,
681,Diego Manuel Jadon da Silva Moreira,7,Chelsea,,,
687,Djordje Petrovic,7,Chelsea,Goalkeeper,right,194
7,Rob Holding,8,Palace,Centre-Back,right,189
219,Naouirou Ahamada,8,Palace,Central Midfield,right,183
220,Joachim Andersen,8,Palace,Centre-Back,right,192
221,Jordan Ayew,8,Palace,Centre-Forward,right,182
222,Nathaniel Clyne,8,Palace,Right-Back,right,175
223,Cheick Doucouré,8,Palace,Defensive Midfield,right,180
224,Malcolm Ebiowei,8,Palace,,,
225,Odsonne Edouard,8,Palace,Centre-Forward,right,187
226,Eberechi Eze,8,Palace,Attacking Midfield,right,178
227,Vicente Guaita,8,Palace,,,
228,Marc Guéhi,8,Palace,Centre-Back,right,182
229,Will Hughes,8,Palace,Central Midfield,left,185
230,Sam Johnstone,8,Palace,Goalkeeper,right,193
231,Jefferson Lerma Solís,8,Palace,Defensive Midfield,right,179
232,Jean-Philippe Mateta,8,Palace,Centre-Forward,right,192
233,Remi Matthews,8,Palace,Goalkeeper,right,192
234,Tyrick Mitchell,8,Palace,Left-Back,left,175
235,Jake O'Brien,8,Palace,,,
236,Michael Olise,8,Palace,Right Winger,left,184
237,Luke Plange,8,Palace,Centre-Forward,right,178
238,Chris Richards,8,Palace,Centre-Back,right,188
239,Jairo Riedewald,8,Palace,Defensive Midfield,left,182
240,Jeffrey Schlupp,8,Palace,Left Midfield,left,178
241,James Tomkins,8,Palace,Centre-Back,right,192
242,Joel Ward,8,Palace,Right-Back,right,186
243,Joe Whitworth,8,Palace,Goalkeeper,right,179
385,Dean Henderson,8,Palace,Goalkeeper,right,188
615,Matheus França de Oliveira,8,Palace,,,
657,Jesurun Rak-Sakyi,8,Palace,Right Winger,left,178
658,John-Kymani Gordon,8,Palace,,,
244,André Tavares Gomes,9,Everton,,,
245,Jarrad Branthwaite,9,Everton,Centre-Back,left,195
246,Dominic Calvert-Lewin,9,Everton,Centre-Forward,right,189
247,Seamus Coleman,9,Everton,Right-Back,right,177
248,Dele Alli,9,Everton,Attacking Midfield,right,188
249,Abdoulaye Doucouré,9,Everton,Central Midfield,right,183
250,James Garner,9,Everton,Defensive Midfield,right,182
251,Jean-Philippe Gbamin,9,Everton,,,
252,Ben Godfrey,9,Everton,Centre-Back,right,184
253,Demarai Gray,9,Everton,,,
254,Idrissa Gueye,9,Everton,Central Midfield,right,174
255,Mason Holgate,9,Everton,Centre-Back,right,187
257,Michael Keane,9,Everton,Centre-Back,right,188
259,Dwight McNeil,9,Everton,Left Winger,left,183
260,Vitalii Mykolenko,9,Everton,Left-Back,left,180
261,Amadou Onana,9,Everton,Defensive Midfield,right,195
262,Nathan Patterson,9,Everton,Right-Back,right,189
263,Jordan Pickford,9,Everton,Goalkeeper,left,185
264,Ellis Simms,9,Everton,,,
265,James Tarkowski,9,Everton,Centre-Back,right,185
266,João Neves Virgínia,9,Everton,,,
579,Andy Lonergan,9,Everton,Goalkeeper,left,193
588,Ashley Young,9,Everton,Left-Back,both,175
601,Arnaut Danjuma Groeneveld,9,Everton,Left Winger,right,178
624,Lewis Dobbin,9,Everton,Left Winger,,175
645,Youssef Ramalho Chermiti,9,Everton,,,
649,Thomas Cannon,9,Everton,,,
650,Tyler Onyango,9,Everton,Central Midfield,right,190
661,Jack Harrison,9,Everton,Right Winger,left,175
691,Norberto Bercique Gomes Betuncal,9,Everton,,,
256,Alex Iwobi,10,Fulham,Attacking Midfield,right,183
267,Andreas Hoelgebaum Pereira,10,Fulham,Attacking Midfield,right,178
268,Tom Cairney,10,Fulham,Central Midfield,left,185
269,Ivan Neves Abreu Cavaleiro,10,Fulham,,,
270,Bobby De Cordova-Reid,10,Fulham,Attacking Midfield,right,170
271,Issa Diop,10,Fulham,Centre-Back,right,194
272,Tyrese Francois,10,Fulham,,,
273,Anthony Knockaert,10,Fulham,,,
274,Terence Kongolo,10,Fulham,,,
275,Bernd Leno,10,Fulham,Goalkeeper,right,190
276,Saša Lukić,10,Fulham,Central Midfield,right,182
277,Kevin Mbabu,10,Fulham,,,
278,Aleksandar Mitrović,10,Fulham,,,
279,Rodrigo Muniz Carvalho,10,Fulham,Centre-Forward,right,186
280,João Palhinha Gonçalves,10,Fulham,Defensive Midfield,right,190
281,Tim Ream,10,Fulham,Centre-Back,left,186
282,Harrison Reed,10,Fulham,Central Midfield,right,181
283,Antonee Robinson,10,Fulham,Left-Back,left,183
284,Marek Rodák,10,Fulham,Goalkeeper,right,194
285,Kenny Tete,10,Fulham,Right-Back,right,180
286,Tosin Adarabioyo,10,Fulham,Centre-Back,right,196
287,Carlos Vinícius Alves Morais,10,Fulham,,,
288,Harry Wilson,10,Fulham,Right Winger,left,173
558,Raúl Jiménez,10,Fulham,Centre-Forward,right,187
591,Willian Borges da Silva,10,Fulham,Left Winger,right,175
610,Calvin Bassey,10,Fulham,Centre-Back,left,185
625,Luc De Fougerolles,10,Fulham,,,
651,Jay Stansfield,10,Fulham,,,
652,Matthew Dibley-Dias,10,Fulham,,,
662,Adama Traoré,10,Fulham,Right Winger,right,178
683,Luke Harris,10,Fulham,,,
688,Timothy Castagne,10,Fulham,Right-Back,right,185
692,Steven Benda,10,Fulham,Goalkeeper,right,192
707,Fodé Ballo-Touré,10,Fulham,Left-Back,left,182
289,Adrián San Miguel del Castillo,11,Liverpool,,,
